LEGEND,NAME,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
,Benjamin Deeds (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,40,13-Feb,2013
,Richard Parker (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,39,Nov-68,1968
,Steel Serpent (Davos) (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,39,Nov-75,1975
,Jacob Conover (Earth-616),Bad Characters,,Black Hair,Male Characters,Living Characters,39,Mar-76,1976
,Miss Locke (Earth-616),Bad Characters,,Black Hair,Female Characters,Deceased Characters,39,Jan-78,1978
,Kaina (Earth-616),Good Characters,White Eyes,Brown Hair,Female Characters,Living Characters,39,Jul-79,1979
,Aaron Nicholson (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,39,Jun-84,1984
,Amiko Kobayashi (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,39,May-84,1984
,Ghaur (Earth-616),Bad Characters,Yellow Eyes,Blue Hair,Male Characters,Living Characters,39,Nov-85,1985
,Quincy McIver (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,39,Oct-85,1985
,Ulysses Lugman (Earth-616),Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,39,Jan-87,1987
,Ananym (Earth-616),Bad Characters,White Eyes,Red Hair,Female Characters,Living Characters,39,Nov-89,1989
,Silverfox (Canadian) (Earth-616),,Blue Eyes,Black Hair,Female Characters,Deceased Characters,39,Aug-89,1989
,Mary Parker (Simulcrum) (Earth-616),,,,Female Characters,Deceased Characters,39,Jun-92,1992
,Carlton LaFroyge (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,39,May-93,1993
,Cammille Benally (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,39,5-Nov,2005
,Brood (Warbound) (Earth-616),Neutral Characters,Yellow Eyes,No Hair,Female Characters,Living Characters,39,7-May,2007
,Rebecca Barnes (Onslaught Reborn) (Earth-616),,Hazel Eyes,Red Hair,Female Characters,Deceased Characters,39,7-Jan,2007
,Cosmo (Dog) (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,39,8-Jan,2008
,Fabio Medina (Earth-616),Good Characters,Black Eyes,Brown Hair,Male Characters,Living Characters,39,13-Apr,2013
,Henry Casey (Earth-616),Good Characters,,Red Hair,Male Characters,Living Characters,38,Nov-52,1952
,Harrington Byrd (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,38,Oct-63,1963
,Marianne Rodgers (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,38,Apr-63,1963
,Victoria Bentley (Earth-616),Neutral Characters,,Brown Hair,Female Characters,Deceased Characters,38,Nov-63,1963
,Diane Arliss (Earth-616),Good Characters,,Black Hair,Female Characters,Living Characters,38,Sep-68,1968
,Jonathan Powers (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,38,Jul-68,1968
,Amphibius (Earth-616),Bad Characters,Yellow Eyes,No Hair,Male Characters,Living Characters,38,Nov-69,1969
,Susan Scarbo (Earth-616),Bad Characters,Green Eyes,Black Hair,Female Characters,Deceased Characters,38,Mar-70,1970
,Jarella (Earth-616),Good Characters,Green Eyes,Blond Hair,Female Characters,Deceased Characters,38,Jun-71,1971
,William Taurens (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,38,Jul-71,1971
,Daniel Drumm (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,38,Sep-73,1973
,Paul Cartier (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,38,Apr-73,1973
,Marduk Kurios (Earth-616),Bad Characters,Variable Eyes,Variable Hair,Male Characters,Living Characters,38,Jan-74,1974
,Electron (Imperial Guard) (Earth-616),Neutral Characters,,,Male Characters,Living Characters,38,Oct-77,1977
,Karkas (Earth-616),Good Characters,Black Eyes,No Hair,Male Characters,Living Characters,38,Feb-77,1977
,William Stryker (Earth-616),Bad Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,38,Jan-83,1983
,Marie-Ange Colbert (Earth-616),Neutral Characters,Green Eyes,Red Hair,Female Characters,Deceased Characters,38,Jun-84,1984
,Jackie Lukus (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,38,Jun-88,1988
,Niels (Earth-616),Good Characters,Yellow Eyes,Orange Hair,Male Characters,Living Characters,38,Sep-88,1988
,Melody Jacobs (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,38,Jan-93,1993
,Anne Ghazikhanian (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,38,2-Oct,2002
,Ernst (Earth-616),Good Characters,,Grey Hair,Female Characters,Living Characters,38,3-Feb,2003
,Geoffrey Wilder (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,38,3-Jul,2003
,Kevin Ford (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,38,3-Sep,2003
,Elloe Kaifi (Earth-616),,Red Eyes,Black Hair,Female Characters,Living Characters,38,6-May,2006
,Ahura Boltagon (Earth-616),,Brown Eyes,Black Hair,Male Characters,Living Characters,38,,
,Franklin Roosevelt (Earth-616),,,,Male Characters,Deceased Characters,37,Aug-40,1940
,Penny Pennington (Earth-616),Good Characters,,Black Hair,Male Characters,Living Characters,37,Nov-52,1952
,Simon Garth (Earth-616),Neutral Characters,White Eyes,Black Hair,Male Characters,Living Characters,37,Jul-53,1953
,Khan (Earth-616),Bad Characters,Red Eyes,Black Hair,Male Characters,Deceased Characters,37,Oct-60,1960
,Norton Fester (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,37,May-66,1966
,Brainchild (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,37,Nov-69,1969
,David Angar (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,37,Jun-73,1973
,Tilda Johnson (Earth-616),Bad Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,37,Aug-73,1973
,Meranno (Earth-616),Bad Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,37,Nov-75,1975
,Lancaster Sneed (Earth-616),Bad Characters,Green Eyes,Black Hair,Male Characters,Living Characters,37,Jul-76,1976
,Hermod (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,37,Aug-78,1978
,Gabrielle Haller (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,37,Sep-82,1982
,James Power (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,37,Aug-84,1984
,Goblyn (Earth-616),Good Characters,Yellow Eyes,Blue Hair,Female Characters,Living Characters,37,Jul-87,1987
,Marcy Masterson (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,37,Dec-89,1989
,Deathwatch (Earth-616),Bad Characters,Red Eyes,Red Hair,Male Characters,Living Characters,37,May-90,1990
,Elias Wirtham (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,37,Dec-90,1990
,Bella Donna Boudreaux (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,37,May-92,1992
,Ormond Wychwood (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,37,Jun-92,1992
,Yelena Belova (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,37,Mar-99,1999
,Tiberius Stone (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,37,1-Feb,2001
,William Robert Reilly (Earth-616),,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,37,1-Aug,2001
,Madeline Berry (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,37,10-Aug,2010
,Night-Wind (Earth-616),Good Characters,,Black Hair,Male Characters,Living Characters,36,Dec-50,1950
,Peotor (Earth-616),Bad Characters,Black Eyes,Red Hair,Male Characters,Living Characters,36,Apr-63,1963
,Bolivar Trask (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,36,Nov-65,1965
,Changeling (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,36,Aug-67,1967
,Mary Fitzpatrick (Earth-616),Good Characters,Hazel Eyes,Brown Hair,Female Characters,Deceased Characters,36,Nov-68,1968
,Monica Lynne (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,36,Feb-70,1970
,Spymaster (Ted Calloway) (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,36,Jan-71,1971
,Peter Corbeau (Earth-616),Good Characters,,Brown Hair,Male Characters,Living Characters,36,Feb-72,1972
,Solomon Kane (Earth-616),Good Characters,,Black Hair,Male Characters,Living Characters,36,Aug-73,1973
,Harold Harold (Earth-616),,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,36,Oct-75,1975
,Courtney Ross (Earth-616),,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,36,Oct-76,1976
,Master Order (Earth-616),Neutral Characters,,No Hair,,Living Characters,36,Dec-77,1977
,Tryco Slatterus (Earth-616),Bad Characters,Silver Eyes,Red Hair,Male Characters,Living Characters,36,Oct-82,1982
,Madcap (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,36,Jul-85,1985
,Ashley Crawford (Earth-616),Good Characters,Blue Eyes,Auburn Hair,Female Characters,Living Characters,36,Jul-89,1989
,Ramonda (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,36,Mar-89,1989
,Goddess (Earth-616),Neutral Characters,White Eyes,Blond Hair,Female Characters,Living Characters,36,Jul-92,1992
,Carmella Unuscione (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,36,Mar-93,1993
,Jacob Raven (Earth-616),,,,Male Characters,Living Characters,36,Dec-94,1994
,Steven Hudak (Earth-616),,Brown Eyes,Bald,Male Characters,Living Characters,36,Sep-95,1995
,Ozymandias (Earth-616),Bad Characters,,,Male Characters,Living Characters,36,May-96,1996
,Inez Temple (Earth-616),,Blue Eyes,Brown Hair,Female Characters,Living Characters,36,2-May,2002
,Monica Rappaccini (Earth-616),Bad Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,36,5-Jun,2005
,Alisa Tager (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,36,9-Jan,2009
,Ava Ayala (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,36,11-Dec,2011
,Arthur Nagan (Earth-616),,Grey Eyes,Black Hair,Male Characters,Living Characters,35,Sep-54,1954
,Belit (Earth-616),Neutral Characters,,,Female Characters,Deceased Characters,35,Sep-74,1974
,Nu-An (Earth-616),Neutral Characters,Black Eyes,Black Hair,Male Characters,Living Characters,35,May-74,1974
,Brock Jones (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,35,Oct-75,1975
,Steven Lang (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,35,Dec-75,1975
,Melissa Greville (Earth-616),,Blue Eyes,Blond Hair,Female Characters,Living Characters,35,Aug-76,1976
,Tiamut (Earth-616),Neutral Characters,Red Eyes,No Hair,Male Characters,Living Characters,35,Dec-77,1977
,Clytemnestra Erwin (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Female Characters,Deceased Characters,35,Jun-83,1983
,Morley Erwin (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,35,Mar-83,1983
,Haroun ibn Sallah al-Rashid (Earth-616),Neutral Characters,Black Eyes,Black Hair,Male Characters,Deceased Characters,35,Jun-84,1984
,Gustav Krueger (Earth-616),Bad Characters,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,35,Oct-85,1985
,Foreigner (Earth-616),,Brown Eyes,Black Hair,Male Characters,Living Characters,35,Jun-86,1986
,Kim Il Sung (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,35,Oct-86,1986
,Carl Burbank (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,35,Dec-87,1987
,Frank Bohannan (Earth-616),Bad Characters,White Eyes,White Hair,Male Characters,Deceased Characters,35,Mar-87,1987
,Gordon Fraley (Earth-616),Bad Characters,Red Eyes,,Male Characters,Living Characters,35,Jan-88,1988
,Madeline Naylor (Earth-616),Neutral Characters,,Strawberry Blond Hair,Female Characters,Living Characters,35,Sep-88,1988
,Charlotte Jones (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,35,Feb-90,1990
,Phoebe Marrs (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,35,Apr-90,1990
,Scott Wright (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,35,Nov-91,1991
,Mikhail Rasputin (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,35,Feb-92,1992
,Peter Parker (Doppelganger) (Earth-616),Bad Characters,White Eyes,No Hair,Male Characters,Living Characters,35,Jun-92,1992
,Zoe Culloden (Earth-616),,Blue Eyes,Blond Hair,Female Characters,Living Characters,35,Mar-94,1994
,Peter Parker (Spidercide) (Earth-616),Bad Characters,Hazel Eyes,Brown Hair,Male Characters,Deceased Characters,35,Mar-95,1995
,Devon Lewis (Earth-616),,Brown Eyes,Black Hair,Male Characters,Living Characters,35,Jan-96,1996
,Agent X (Nijo) (Earth-616),Neutral Characters,Brown Eyes,Bald,Male Characters,Living Characters,35,2-May,2002
,Edwin Jarvis (Skrull) (Earth-616),Bad Characters,Green Eyes,No Hair,Male Characters,Deceased Characters,35,5-Mar,2005
,Hiroim (Earth-616),,,Black Hair,Male Characters,Living Characters,35,6-Apr,2006
,John Aman (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,35,7-Oct,2007
,Romulus (Earth-616),Bad Characters,Black Eyes,White Hair,Male Characters,Living Characters,35,7-Mar,2007
,Wernher von Blitzschlag (Earth-616),Neutral Characters,Blue Eyes,White Hair,Male Characters,Living Characters,35,7-May,2007
,James Taylor James (Earth-616),Neutral Characters,Brown Eyes,Auburn Hair,Male Characters,Deceased Characters,35,8-Jul,2008
,Yo Yo Rodriguez (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,35,8-Jul,2008
,Melita Garner (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,35,9-Jun,2009
,Krakoa III (Earth-616),Good Characters,Red Eyes,No Hair,Male Characters,Living Characters,35,12-Jan,2012
,Mary Morgan (Earth-616),Good Characters,,Brown Hair,Female Characters,Living Characters,34,Dec-40,1940
,Poseidon Aegaeus (Earth-616),Good Characters,Blue Eyes,White Hair,Male Characters,Living Characters,34,Feb-43,1943
,Hermes Diaktoros (Earth-616),,Blue Eyes,Blond Hair,Male Characters,Living Characters,34,Dec-48,1948
,Major Thorn (Earth-616),Good Characters,,Black Hair,Male Characters,Living Characters,34,Jan-52,1952
,Arab (Earth-616),Good Characters,,White Hair,Male Characters,Living Characters,34,Oct-54,1954
,Igor (Earth-616),Bad Characters,Black Eyes,Yellow Hair,Male Characters,Living Characters,34,Apr-63,1963
,Chester Phillips (Earth-616),Good Characters,Brown Eyes,Grey Hair,Male Characters,Deceased Characters,34,Mar-65,1965
,Aireo (Earth-616),Bad Characters,Blue Eyes,,Male Characters,Living Characters,34,Feb-66,1966
,Keith Kincaid (Earth-616),Good Characters,,Blond Hair,Male Characters,Living Characters,34,Jan-67,1967
,Gustav Brandt (Earth-616),Neutral Characters,,,Male Characters,Living Characters,34,Jan-70,1970
,William Talltrees (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,34,Sep-70,1970
,Tamara Rahn (Earth-616),Good Characters,Red Eyes,Blond Hair,Female Characters,Living Characters,34,Feb-73,1973
,Charles Rider (Earth-616),Neutral Characters,,Brown Hair,Male Characters,Living Characters,34,Sep-76,1976
,Richard Deacon (Earth-616),Neutral Characters,Red Eyes,Brown Hair,Male Characters,Living Characters,34,Nov-76,1976
,Ziran (Earth-616),Neutral Characters,,,,Living Characters,34,Dec-77,1977
,Cilicia (Earth-616),Neutral Characters,,,Female Characters,Living Characters,34,Sep-79,1979
,Davida DeVito (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,34,Aug-79,1979
,Erica Sondheim (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,34,Mar-79,1979
,Karlin Malus (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,34,Sep-80,1980
,Margali Szardos (Earth-616),,Blue Eyes,Grey Hair,Female Characters,Living Characters,34,Nov-80,1980
,Nguyen Ngoc Coy (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,34,Dec-80,1980
,Raoul Bushman (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,34,Nov-80,1980
,Stick (Earth-616),Good Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters,34,Nov-81,1981
,Scourge (Delazny) (Earth-616),Bad Characters,,White Hair,Male Characters,Deceased Characters,34,May-85,1985
,Quicksand (Earth-616),Bad Characters,Yellow Eyes,,Female Characters,Living Characters,34,Jun-88,1988
,Val Ventura (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,34,Jul-89,1989
,Doug Powell (Earth-616),Good Characters,,Brown Hair,Male Characters,Living Characters,34,Jun-90,1990
,Amy Chen (Earth-616),Neutral Characters,Black Eyes,Black Hair,Female Characters,Living Characters,34,Jul-92,1992
,Brendan Rathcoole (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,34,Jun-92,1992
,Lynn Michaels (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,34,Sep-92,1992
,Tigon Liger (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,34,Jun-92,1992
,Suzi Endo (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,34,Dec-94,1994
,Jessica Carradine (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,34,May-96,1996
,Nicholas Gleason (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,34,2-Oct,2002
,Barack Obama (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,34,9-Mar,2009
,Victor Alvarez (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,34,9-Nov,2009
,Grady Scraps (Earth-616),Neutral Characters,Blue Eyes,,Male Characters,Living Characters,34,11-Jan,2011
,Francesca Grace (Earth-616),,Black Eyes,Black Hair,Female Characters,Living Characters,34,,
,Matt Slade (Earth-616),Good Characters,,Brown Hair,Male Characters,Living Characters,33,May-56,1956
,Joseph Hogan (Earth-616),Neutral Characters,Blue Eyes,Bald,Male Characters,Living Characters,33,Aug-62,1962
,Barney Bushkin (Earth-616),Good Characters,Brown Eyes,Grey Hair,Male Characters,Living Characters,33,Aug-65,1965
,Master Mold (Earth-616),Bad Characters,Yellow Eyes,No Hair,Male Characters,Deceased Characters,33,Dec-65,1965
,Quasi-Motivational Destruct Organism (Earth-616),Bad Characters,White Eyes,No Hair,Male Characters,Living Characters,33,Nov-66,1966
,Mangog (Earth-616),Bad Characters,Brown Eyes,No Hair,Male Characters,Living Characters,33,Jul-68,1968
,Arkon (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,33,Apr-70,1970
,Ebony (Earth-616),Good Characters,Yellow Eyes,Black Hair,,Living Characters,33,Jan-70,1970
,Jonas Harrow (Earth-616),Bad Characters,,Bald,Male Characters,Deceased Characters,33,Nov-72,1972
,Vincent Stegron (Earth-616),Bad Characters,Green Eyes,No Hair,Male Characters,Living Characters,33,Mar-74,1974
,Albert Potter (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters,33,Oct-76,1976
,Archibald Dyker (Earth-616),Bad Characters,Blue Eyes,No Hair,Male Characters,Living Characters,33,Nov-76,1976
,Drew Daniels (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,33,Dec-76,1976
,Douglas Birely (Earth-616),Bad Characters,Grey Eyes,Brown Hair,Male Characters,Living Characters,33,Nov-77,1977
,Godzilla (Earth-616),Neutral Characters,Red Eyes,No Hair,Male Characters,Deceased Characters,33,Aug-77,1977
,Jackson Arvad (Earth-616),Neutral Characters,White Eyes,Blond Hair,Male Characters,Living Characters,33,Apr-77,1977
,John Clayton (Earth-616),Good Characters,Grey Eyes,Black Hair,Male Characters,Living Characters,33,Jun-77,1977
,Julia Koenig (Earth-616),,Blue Eyes,Black Hair,Female Characters,Living Characters,33,May-77,1977
,Sergei Krylov (Earth-616),Bad Characters,White Eyes,,Male Characters,Living Characters,33,Oct-77,1977
,Morris Walters (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,33,Mar-80,1980
,Jennifer Stavros (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,33,Jun-84,1984
,Colin McKay (Earth-616),Good Characters,Red Eyes,Orange Hair,Male Characters,Living Characters,33,Nov-88,1988
,Kathleen Neville (Earth-616),,Brown Eyes,Brown Hair,Female Characters,Living Characters,33,Nov-89,1989
,Julius Rassitano (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,33,Nov-90,1990
,Atalanta (Pantheon) (Earth-616),Good Characters,,Black Hair,Female Characters,Living Characters,33,Mar-91,1991
,Karl Striklan (Earth-616),Good Characters,,Brown Hair,Male Characters,Living Characters,33,May-91,1991
,Caretaker (Blood) (Earth-616),,Blue Eyes,White Hair,Male Characters,Living Characters,33,Aug-92,1992
,Morg (Earth-616),Bad Characters,Red Eyes,Grey Hair,Male Characters,Deceased Characters,33,Aug-92,1992
,Victoria Montesi (Earth-616),Good Characters,,Black Hair,Female Characters,Living Characters,33,Oct-92,1992
,Kevin Trench (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,33,Feb-93,1993
,Jack Harrison (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,33,Dec-94,1994
,Alyssa Moy (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters,33,May-98,1998
,Malcolm Colcord (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,33,1-Mar,2001
,Alex Wilder (Earth-616),Neutral Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,33,3-Jul,2003
,Carmilla Black (Earth-616),Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters,33,5-Jun,2005
,Xavin (Earth-616),Good Characters,Brown Eyes,Brown Hair,Genderfluid Characters,Living Characters,33,5-Oct,2005
,Predator X (Earth-616),Bad Characters,Silver Eyes,No Hair,,Living Characters,33,7-Mar,2007
,Anastasia Kravinoff (Earth-616),Bad Characters,Brown Eyes,Blond Hair,Female Characters,Living Characters,33,8-Sep,2008
,Ezekiel Stane (Earth-616),Neutral Characters,Brown Eyes,Bald,Male Characters,Living Characters,33,8-Apr,2008
,Alistaire Smythe (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,33,,
,Ho Yinsen (Earth-616),Good Characters,Brown Eyes,White Hair,Male Characters,Deceased Characters,32,Mar-63,1963
,Living Brain (Earth-616),Neutral Characters,Yellow Eyes,No Hair,Agender Characters,Living Characters,32,Jan-64,1964
,Carter Slade (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,32,Feb-67,1967
,Jay Little Bear (Earth-616),Good Characters,,,Male Characters,Living Characters,32,Jan-68,1968
,Phillip Sterling (Earth-616),Bad Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,32,Apr-68,1968
,Lawrence Cranston (Earth-616),Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,32,Jun-72,1972
,Erik Killmonger (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,32,Sep-73,1973
,Integral Synaptic Anti-Anionic Computer (Earth-616),Neutral Characters,,,Male Characters,Living Characters,32,Feb-73,1973
,Zzzax (Earth-616),Bad Characters,,No Hair,,Living Characters,32,Aug-73,1973
,James Montgomery Falsworth (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,32,Jul-76,1976
,Samuels (Earth-616),,,White Hair,Male Characters,Living Characters,32,Jun-76,1976
,Titan (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,32,Oct-77,1977
,Hugin (Earth-616),Good Characters,Black Eyes,,Male Characters,Living Characters,32,Aug-78,1978
,Steve Jackson (Earth-616),Good Characters,,Black Hair,Male Characters,Deceased Characters,32,Dec-79,1979
,James Jaspers (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,32,Sep-83,1983
,Adversary (Earth-616),Bad Characters,Blue Eyes,,Male Characters,Living Characters,32,Dec-84,1984
,Gunnhild (Earth-616),Good Characters,,Red Hair,Female Characters,Living Characters,32,Dec-84,1984
,Sharon Smith (Earth-616),Bad Characters,Purple Eyes,Purple Hair,Female Characters,Deceased Characters,32,Jun-84,1984
,Bonebreaker (Earth-616),Bad Characters,,White Hair,Male Characters,Living Characters,32,May-88,1988
,Craig Hollis (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,32,Jul-89,1989
,Network Nina (Earth-616),Good Characters,Black Eyes,Black Hair,Female Characters,Deceased Characters,32,Oct-89,1989
,Bronwen Gryffn (Earth-616),Bad Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,32,Jun-92,1992
,Mickey Fondozzi (Earth-616),Neutral Characters,,Brown Hair,Male Characters,Living Characters,32,Mar-92,1992
,Brent Jackson (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,32,1-Jun,2001
,Morlun (Earth-616),Bad Characters,Red Eyes,Black Hair,Male Characters,Living Characters,32,1-Jun,2001
,Dee Milo (Earth-616),Good Characters,Yellow Eyes,Black Hair,Female Characters,Deceased Characters,32,2-Sep,2002
,Alice Hayes (Earth-616),Bad Characters,,,Female Characters,Deceased Characters,32,3-Jul,2003
,Caiera (Earth-616),Good Characters,Green Eyes,Black Hair,Female Characters,Deceased Characters,32,6-Apr,2006
,Hiro-Kala (Earth-616),Neutral Characters,Black Eyes,Black Hair,Male Characters,Living Characters,32,8-Sep,2008
,Kelda (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,32,8-Feb,2008
,Sasha Hammer (Earth-616),Bad Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,32,8-Jul,2008
,Sebastian Druid (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,32,8-Jul,2008
,June Covington (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,32,11-Jan,2011
,Uatu Jackson (Earth-616),Neutral Characters,Brown Eyes,Bald,Male Characters,Living Characters,32,11-Jan,2011
,David Rand (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,31,Oct-39,1939
,Electro (Robot) (Earth-616),Good Characters,,No Hair,,Living Characters,31,Feb-40,1940
,Doris Evans (Earth-616),Good Characters,,Brown Hair,Female Characters,Living Characters,31,Oct-63,1963
